no	id	skk_key	notation	reading	method	judgment	note
1	954645-441-0035	かつ	渴	かつ	L	o	
2	954645-589-0006	ぎょうせいしょぶん	行政處分	ぎゃうせい-しょぶん	L	o	
3	954645-414-0023	かざりちょうどがけ	飾調度懸	かざり-てうどがけ	align	o	
4	954647-461-0010	ちょうやく	貼藥	てふ-やく	align	o	
5	954647-228-0019	たえいr	絶入	たえ-いる	JMdict	o	
6	954647-430-0036	ていきかんこう	定期刊行	ていき-かんかう	align	o	
7	954645-244-0033	うりぎり	瓜切	うりぎり	align	o	
8	954645-362-0048	こういん	好音	かう-いん	align	o	
9	954646-373-0020	ざつねん	雜念	ざつ-ねん	L	o	
10	954647-338-0002	ちゃせんそでがき	茶筅袖垣	ちゃせん-そでがき	align	o	
11	954646-068-0027	くろけん	黒玄	くろ-けん	align	o	
12	954648-700-0010	いあお	位襖	ゐあを	align	o	
13	954646-498-0013	しょううん	祥雲	しゃう-うん	JMdict	o	
14	954647-464-0019	てり	照	てり	JMdict	o	
15	954646-214-0028	ごくか	極果	ごく-くわ	align	o	
16	954648-063-0021	のきづけ	軒付	のきづけ	align	o	
17	954645-190-0018	いんもつ	音物	いん-もつ	JMdict	o	
18	954645-103-0034	ゆうしゃくしゃ	有爵者	いうしゃくしゃ	align	o	
19	954648-029-0047	にょてい	女帝	にょ-てい	JMdict	o	
20	954648-519-0040	もくせいそうか	木犀草科	もくせいさう-くわ	align	o	
21	954648-722-0043	おさとおし	筬通	をさ-とほし	JMdict	o	
22	954648-224-0035	ひゃくしょうまち	百姓町	ひゃくしゃう-まち	align	o	
23	954647-455-0004	てつどうざいだん	鐵道財團	てつだう-ざいだん	align	o	
24	954648-233-0053	ひるどき	晝時	ひるどき	L	o	
25	954645-289-0021	おしたてもん	押立門	おしたて-もん	align	o	
26	954648-252-0010	ふきこm	吹込	ふきこむ	JMdict	o	
27	954648-609-0002	よびびと	呼人	よび-びと	align	o	
28	954648-635-0038	りがくはくし	理學博士	りがく-はくし	L	o	
29	954647-516-0010	どくりょく	獨力	どくりょく	L	o	
30	954647-399-0004	ずたけ	圖竹	づたけ	align	o	
31	954648-559-0018	やしおじ	八潮路	やしほぢ	JMdict	o	
32	954648-247-0035	ぶえき	夫役	ぶ-えき	JMdict	o	
33	954646-487-0020	しおさい	潮	しほ-さゐ	JMdict	o	
34	954645-616-0034	きりぬけ	切拔	きり-ぬけ	align	o	
35	954647-139-0011	そうきゅうだな	宗及棚	そうきふ-だな	align	o	
36	954648-664-0045	れいしき	禮式	れいしき	L	o	
37	954647-310-0030	ちくさi	血臭	ちくさし	JMdict	o	
38	954646-415-0001	しい	指意	しい	align	o	
39	954648-417-0035	まめつち	豆鎚	まめ-つち	align	o	
40	954646-439-0039	じし	兒子	じし	JMdict	o	
41	954646-160-0034	けんよう	顯要	けん-えう	L	o	
42	954648-593-0024	よこだい	横題	よこ-だい	align	o	
43	954648-434-0021	みきねよね	三杵米	みきねよね	align	o	
44	954646-290-0010	こぶこぶ	瘤瘤	こぶ-こぶ	align	o	
45	954647-467-0005	てんが	天蛾	てん-が	align	o	
46	954647-586-0036	なげきじに	歎死	なげき-じに	align	o	
