no	id	skk_key	notation	reading	method	judgment	note
93	954646-187-0045	ごいんど	五印度	ご-いんど	align	o	
94	954646-406-0022	さんなくしゅ	三惡趣	さん-なくしゅ	JMdict	o	
95	954646-034-0008	くつろぎ	寛	くつろぎ	JMdict	o	
96	954648-710-0013	えかき	繪書	ゑかさ	L	o	
97	954648-527-0008	もとぎん	元銀	もと-ぎん	align	o	
98	954647-361-0027	ちょくい	直位	ちょくゐ	align	o	
99	954646-251-0008	ごしゅいんあらため	御朱印改	ごしゅいん-あらため	align	o	
100	954648-467-0058	みやつこ	御奴	ひやつこ	JMdict	o	
101	954647-591-0036	なすじょう	茄錠	なす-ぢゃう	align	o	
102	954645-361-0023	かいりょく	戒力	かい-りょく	align	o	
103	954646-234-0022	こころうごき	心動	こころ-うごき	align	o	
104	954648-166-0027	ひいじじ	曾祖父	ひい-ぢぢ	L	o	
105	954647-034-0003	すいき	醉氣	すゐ-き	align	o	
106	954646-523-0009	しゃくじょうまめ	錫杖豆	しゃくぢゃう-まめ	align	o	
107	954645-154-0057	いなたば	稻把	いな-たば	align	o	
108	954647-260-0013	たてかじ	立柁	たて-かぢ	align	o	
109	954646-583-0048	しらむし	白蒸	しら-むし	JMdict	o	
110	954646-442-0016	じしょうふじょう	自性不淨	じしゃう-ふじゃう	align	o	
111	954646-253-0044	ごしんぞうさま	御新造樣	ごしんざうさま	align	o	
112	954646-525-0040	しゃこう	車工	しゃ-こう	align	o	
113	954647-600-0039	ななつわりよつめ	七割四目	ななつわり-よつめ	align	o	
114	954647-605-0020	なわからげ	繩紮	なは-からげ	align	o	
115	954648-156-0045	はんしょう	半霄	はん-せう	align	o	
116	954648-376-0050	ぼんぎょう	梵行	ぼんぎゃう	JMdict	o	
117	954645-364-0023	こうかさくどう	高架索道	かうか-さくだう	align	o	
118	954647-626-0017	なるこなわ	鳴子繩	なるこ-なは	align	o	
119	954645-306-0005	おびかね	帶金	おびかね	align	o	
120	954646-571-0041	しょが	書畫	しょ-ぐわ	L	o	
121	954645-111-0018	いきあu	行合	いき-あふ	JMdict	o	
122	954648-461-0030	みほr	見惚	みほる	JMdict	o	
123	954648-129-0049	はなふき	鼻拭	はな-ふき	JMdict	o	
124	954645-456-0030	かわいた	側板	かは-いた	JMdict	o	
125	954646-594-0032	じんう	甚雨	じん-う	align	o	
126	954647-114-0019	せんきん	仙禽	せん-きん	align	o	
127	954647-623-0042	ならべたt	並立	ならべ-たてる	JMdict	o	
128	954648-269-0011	ぶしゃまと	奉射的	ぶしゃ-まと	align	o	
129	954648-010-0005	にくちゅう	肉柱	にくちゅう	JMdict	o	
130	954648-093-0032	はぎのもち	萩餅	はぎ-の-もち	JMdict	o	
131	954645-498-0019	からしお	鹹鹽	からしほ	JMdict	o	
132	954645-200-0018	うさいたい	烏犀帶	うさい-たい	JMdict	o	
133	954645-486-0086	かみのみち	神道	かみのみち	align	o	
134	954646-408-0045	さんぶつじょう	讃佛乘	さんぶつ-じょう	L	o	
135	954647-198-0038	たいせきはんけつ	對席判決	たいせき-はんけつ	align	o	
136	954645-527-0049	かんよ	神代	かんよ	align	o	
137	954645-533-0046	きゅうこう	九功	きう-こう	align	o	
138	954647-017-0013	すずめのまくら	雀枕	すずめ-の-まくら	align	o	
139	954647-476-0011	てんせん	點錢	てん-せん	align	o	
140	954647-471-0030	てんぞう	典藏	てんざう	align	o	
141	954648-430-0016	みあげのいた	見上板	みあげ-の-いた	align	o	
142	954645-609-0019	ぎょのう	魚腦	ぎょ-なう	L	o	
143	954646-337-0014	そうこかいしゃ	倉庫會社	さうこ-くわいしゃ	align	o	
144	954648-694-0049	わらわめ	童女	わらはめ	JMdict	o	
145	954647-254-0019	たちばなやき	橘燒	たちばな-やき	align	o	
146	954647-320-0020	ちとまり	血留	ち-とまり	align	o	
147	954648-387-0005	もうだぬの	望陀布	まうだ-ぬの	align	o	
148	954648-561-0036	やすいにんぎょう	安井人形	やすゐ-にんぎゃう	align	o	
149	954646-089-0011	かし	掛子	くわ-し	align	o	
150	954645-389-0007	かきなd	掻撫	かき-なづ	JMdict	o	
151	954645-096-0042	あんが	鞍瓦	あん-ぐわ	JMdict	o	
152	954648-050-0064	ねっちょう	熱腸	ねっ-ちゃう	align	o	
153	954647-197-0031	たいs	體	たい-す	L	o	
154	954648-588-0041	ようまい	用米	よう-まい	align	o	
155	954648-517-0039	もえくさ	燃種	もえ-くさ	JMdict	o	
156	954648-100-0059	ばくり	麥李	ばくり	align	o	
157	954647-375-0039	ついまつ	續松	つい-まつ	JMdict	o	
158	954647-455-0013	てっとうぼく	鐵刀木	てったう-ぼく	JMdict	o	
159	954648-014-0053	にしのみやとかい	西宮渡海	にしのみやとかい	align	o	
160	954647-471-0017	てんこつ	天骨	てん-こつ	align	o	
161	954646-345-0049	ぞうもつ	臟物	ざう-もつ	L	o	
162	954648-026-0033	においかけ	匂懸	にほひ-かけ	align	o	
163	954647-440-0006	ちょうし	弔使	てうし	align	o	
164	954645-593-0012	きょうりゅう	狂流	きゃう-りう	align	o	
165	954645-348-0030	かいごうおん	開合音	かいがふおん	align	o	
166	954647-624-0047	なりすがた	形姿	なり-すがた	JMdict	o	
167	954648-170-0034	ひかえやしき	控屋敷	ひかへ-やしき	align	o	
168	954645-083-0027	あらそう	荒奏	あら-そう	align	o	
169	954645-177-0011	いものはは	芋母	いものはは	align	o	
170	954648-101-0006	はくりょう	白龍	はく-りょう	JMdict	o	
171	954647-493-0013	どうこ	銅鼓	どう-こ	align	o	
172	954646-159-0029	げん	驗	げん	L	o	
173	954645-305-0058	おびかけ	帶掛	おびかけ	align	o	
174	954647-522-0012	としこっか	都市國家	とし-こくか	L	o	
175	954648-652-0040	りゅうおうめ	龍王目	りゅうわう-め	align	o	
176	954647-305-0085	ちがいゆみ	違弓	ちがひ-ゆみ	align	o	
177	954647-314-0021	じぞうそん	地藏尊	ぢざう-そん	JMdict	o	
178	954648-142-0034	はやしもり	林守	はやし-もり	align	o	
179	954646-217-0057	こくせん	國宣	こく-せん	align	o	
180	954646-285-0017	こはるび	小春日	こはる-び	JMdict	o	
181	954646-461-0016	じつじ	實事	じつじ	JMdict	o	
182	954648-549-0047	やきぐし	燒串	やきぐし	L	o	
183	954648-555-0056	やぐらやり	櫓槍	やぐら-やり	align	o	
184	954648-716-0047	えんじゅ	遠樹	ゑんじゅ	align	o	
185	954646-302-0057	ごようにん	御用人	ご-ようにん	JMdict	o	
186	954645-198-0038	うけとりしょうしょ	受取證書	うけとりしょうしょ	L	o	
187	954648-677-0045	おうそうじん	王相神	わうさうじん	align	o	
188	954645-078-0042	あめんぼう	飴棒	あめん-ぼう	JMdict	o	
189	954646-318-0035	こんえん	渾圓	こん-ゑん	align	o	
190	954648-705-0034	いにんけいやく	委任契約	ゐにん-けいやく	JMdict	o	
191	954648-329-0062	べにかけはないろ	紅懸花色	べにかけ-はないろ	align	o	
192	954646-297-0026	こみあg	込上	こみ-あぐ	JMdict	o	
193	954648-100-0018	はくぼたん	白牡丹	はく-ぼたん	align	o	
194	954646-284-0061	こばみあそび	拒遊	こばみ-あそび	align	o	
195	954645-072-0034	あまつしるし	天表	あま-つ-しるし	align	o	
196	954645-181-0023	いりなべ	煎鍋	いり-なべ	JMdict	o	
197	954647-266-0003	たにんず	多人數	た-にんず	JMdict	o	
198	954647-417-0048	つよぶくみ	強含	つよ-ぶくみ	JMdict	o	
199	954646-022-0008	くそうかい	區總會	く-そうくわい	align	o	
200	954648-182-0046	ひごまい	肥後米	ひご-まい	align	o	
201	954648-338-0031	へんなん	變難	へんなん	align	o	
202	954648-228-0059	ひらいき	避雷器	ひらい-き	align	o	
203	954646-316-0019	ごんのかみ	權頭	ごん-の-かみ	align	o	
204	954645-371-0020	こうぞうり	楮賣	かうぞ-うり	align	o	
205	954648-300-0040	ふりつm	降積	ふり-つむ	JMdict	o	
206	954648-276-0066	ふとう	布答	ふ-たふ	align	o	
207	954648-355-0010	ほしく	星供	ほし-く	align	o	
208	954647-172-0059	そりか	鼠李科	そり-くわ	align	o	
209	954645-504-0039	かりうk	借受	かり-うく	JMdict	o	
210	954646-075-0023	がいししんけい	外視神經	ぐわい-ししんけい	align	o	
211	954647-030-0050	すりきr	摩切	すり-きる	JMdict	o	
212	954648-499-0028	めいきょう	冥境	めい-きゃう	JMdict	o	
213	954645-607-0036	きょじょう	擧状	きょ-じゃう	align	o	
214	954648-415-0017	まえはなお	前鼻緖	まへ-はなを	JMdict	o	
215	954645-098-0036	あんどう	行燈	あん-どう	JMdict	o	
216	954648-560-0038	やすぶ	安分	やすぶ	align	o	
217	954646-540-0005	しゅくぞうぶつ	宿藏物	しゅくざう-ぶつ	align	o	
218	954648-257-0018	ふくじんづけ	福神漬	ふくじん-づけ	L	o	
219	954646-435-0017	しけんきじつ	試驗期日	しけん-きじつ	align	o	
220	954648-094-0018	はくいし	箔石	はく-いし	align	o	
221	954645-349-0034	かいかん	開卷	かい-くわん	L	o	
222	954645-633-0022	きんゆうきかん	金融機關	きんゆう-きくわん	L	o	
223	954645-307-0042	おびとき	帶解	おび-とき	align	o	
224	954648-342-0022	ほうが	鳳駕	ほうが	JMdict	o	
225	954647-416-0013	つもりがき	積書	つもり-がき	JMdict	o	
226	954646-104-0031	かんだん	款段	くわん-だん	align	o	
227	954647-318-0066	ちぢみこm	縮込	ちぢみ-こむ	JMdict	o	
228	954647-061-0012	せいとう	世統	せい-とう	align	o	
229	954645-542-0034	ききそこn	聞損	きき-そこなふ	JMdict	o	
230	954647-043-0023	すいろんしき	推論式	すゐろんしき	JMdict	o	
231	954648-415-0014	まえのもの	前物	まへのもの	align	o	
232	954648-405-0001	まつかさ	松笠	まつ-かさ	JMdict	o	
233	954648-264-0008	ふごしょ	布護署	ふごしょ	align	o	
234	954645-266-0020	えびすすがた	夷姿	えびすすがた	align	o	
235	954646-257-0043	ごぜんむし	御膳蒸	ごぜん-むし	align	o	
236	954647-521-0010	どじ	土耳	ど-じ	align	o	
237	954647-245-0005	だしぬけ	出拔	だし-ぬけ	L	o	
238	954645-278-0034	おかぶともち	御兜持	おかぶと-もち	align	o	
239	954647-370-0014	ちんげん	陳言	ちん-げん	align	o	
240	954646-545-0032	しゅしゅつにゅう	輸出入	しゅしゅつにふ	align	o	
241	954645-543-0073	ききもれ	聞漏	きき-もれ	align	o	
242	954648-655-0010	りえんふ	梨園譜	りゑん-ふ	align	o	
243	954648-549-0011	やがらもみ	矢柄揉	やがら-もみ	align	o	
244	954646-265-0036	こっていうし	特牛	こってい-うし	JMdict	o	
245	954646-065-0046	くれふさg	暗塞	くれ-ふさがる	JMdict	o	
246	954646-606-0043	しんせい	參星	しん-せい	align	o	
247	954646-214-0012	こくぎ	國儀	こくぎ	JMdict	o	
248	954646-173-0047	けんだんしょく	檢斷職	けんだん-しょく	align	o	
249	954648-297-0018	ふゆきとどき	不行屆	ふ-ゆきとどき	L	o	
250	954648-073-0003	のみむし	蚤蟲	のみ-むし	JMdict	o	
251	954646-373-0010	ざっそく	雜則	ざっ-そく	L	o	
252	954647-358-0020	ちょきんかよいちょう	貯金通帳	ちょきん-かよひちゃう	align	o	
253	954645-632-0014	きんぶしゅじ	金部主事	きんぶしゅじ	align	o	
254	954648-328-0014	べっとうだい	別當代	べったう-だい	align	o	
255	954648-038-0072	ぬのまき	布卷	ぬの-まき	L	o	
256	954647-310-0014	じくけつ	衂血	ぢく-けつ	align	o	
257	954648-344-0029	ほうたい	繃帶	ほう-たい	L	o	
258	954646-346-0003	そうよく	雙翼	さうよく	L	o	
259	954646-046-0018	くまのい	熊膽	くまのい	L	o	
260	954648-234-0007	ひるぬすみ	晝盜	ひる-ぬすみ	align	o	
261	954645-456-0008	かわあかり	川明	かは-あかり	JMdict	o	
262	954648-632-0004	りあい	利合	り-あひ	align	o	
263	954647-537-0020	どひょうせき	土俵堰	どへう-せき	align	o	
264	954645-052-0060	あつほお	厚朴	あつ-ほほ	align	o	
265	954645-145-0053	いつつのはな	五花	いつつのはな	align	o	
266	954646-005-0052	くうしゅう	空宗	くうしゅう	align	o	
267	954646-424-0012	しがいかんせん	市街幹線	しがい-かんせん	align	o	
268	954648-507-0028	めしじょう	召状	めし-じゃう	align	o	
269	954645-080-0004	あやまき	綾卷	あや-まき	align	o	
270	954645-319-0015	おおなり	大成	おほ-なり	align	o	
271	954646-140-0005	げじきにち	下食日	げじき-にち	align	o	
272	954647-320-0025	ちどめぐさ	血止草	ちどめ-ぐさ	JMdict	o	
273	954648-288-0051	ふのう	浮嚢	かなう	dict-reading	o	
274	954646-365-0005	さしくわえ	差加	さし-くはへ	align	o	
275	954646-060-0048	くりや	繰矢	くり-や	align	o	
276	954647-217-0010	とうがん	刀眼	たう-がん	align	o	
277	954645-251-0021	うんてんし	運轉士	うんてん-し	L	o	
278	954646-571-0040	しょくろく	食祿	しょくろく	align	o	
279	954646-149-0023	けつだんれい	決斷令	けつだん-れい	align	o	
280	954645-342-0027	おろしなみ	卸並	おろし-なみ	align	o	
281	954646-123-0028	けいじぶ	刑事部	けいじ-ぶ	JMdict	o	
282	954647-099-0002	せつじょ	節序	せつ-じょ	align	o	
283	954645-408-0019	かごあみ	籠編	かご-あみ	align	o	
284	954648-224-0041	ひゃくしょうおんな	百姓女	ひゃくしゃう-をんな	align	o	
285	954645-281-0002	おきなすがた	翁姿	おきな-すがた	align	o	
286	954645-146-0026	いってんばり	一點張	いってん-ばり	L	o	
287	954648-682-0031	わかまつやき	若松燒	わかまつ-やき	align	o	
288	954648-230-0005	ひらくび	平頸	ひら-くび	align	o	
289	954648-308-0036	ぶんじ	分時	ぶんじ	align	o	
290	954646-116-0015	げ	氣	げ	L	o	
291	954646-437-0051	しさい	詞彩	しさい	align	o	
292	954648-448-0009	みつかじのは	三梶葉	みつ-かぢのは	align	o	
293	954645-414-0024	かざりなわ	飾繩	かざり-なは	align	o	
294	954648-392-0028	まぐさば	秣場	まぐさ-ば	align	o	
295	954646-534-0046	しゅうし	衆士	しゅう-し	align	o	
296	954646-499-0037	じょうごう	上合	じゃうがふ	JMdict	o	
297	954646-338-0006	そうぞうs	騷騷	さうざうし	JMdict	o	
298	954648-123-0013	はなおうぎ	花扇	はな-あふぎ	align	o	
299	954645-168-0065	いいよr	言寄	いひ-よる	JMdict	o	
300	954648-245-0028	ふうぞくけいさつ	風俗警察	ふうぞく-けいさつ	align	o	
301	954645-615-0043	きりちらし	切散	きり-ちらし	align	o	
302	954648-644-0041	りはつぎょう	理髮業	りはつ-げふ	align	o	
303	954648-565-0017	やっこひげ	奴髭	やっこ-ひげ	align	o	
304	954648-265-0022	ふさつきまくら	總附枕	ふさつき-まくら	align	o	
305	954647-513-0004	どくつ	土窟	どくつ	align	o	
306	954647-224-0018	どうどうし	堂童子	だう-どうし	align	o	
307	954646-260-0024	こだから	子寶	こ-だから	L	o	
308	954646-145-0042	けっかいば	結界場	けっかいば	align	o	
309	954646-198-0013	こうちょうし	貢調使	こうてう-し	align	o	
310	954647-480-0024	てんねん	天年	てん-ねん	align	o	
311	954647-383-0021	つかれあし	疲足	つかれ-あし	align	o	
312	954648-708-0004	いんごう	院號	ゐん-がう	L	o	
313	954646-574-0016	しょしょく	所職	しょしょく	align	o	
314	954646-017-0026	くじのあし	公事足	くじ-の-あし	align	o	
315	954646-277-0012	ごとみそ	五斗味噌	ごと-みそ	JMdict	o	
316	954647-420-0035	つるうち	弦打	つる-うち	align	o	
317	954647-150-0034	ぞくどうせん	贖銅錢	ぞくどう-せん	align	o	
