no	id	skk_key	notation	reading	method	judgment	note
1	954646-555-0010	しゅんいん	春蚓	しゅん-いん	align	o	
2	954645-567-0002	きっしょうてん	吉祥天	きっしゃう-てん	JMdict	o	
3	954647-604-0027	なのつき	名月	な-のつき	align	o	
4	954648-102-0055	はこおんのじ	箱御字	はこ-おんのじ	align	o	
5	954647-544-0043	ともない	伴	とも-なひ	JMdict	o	
6	954647-309-0050	ちく	地區	ち-く	L	o	
7	954647-212-0006	だいやくかん	大譯官	だい-やくくわん	align	o	
8	954647-292-0045	たんしゅど	單首奴	たん-しゅど	align	o	
9	954647-329-0011	ちょうし	長紙	ちゃう-し	align	o	
10	954648-099-0023	ばくばく	寞寞	ばく-ばく	align	o	濁点がつぶれて見分けにくい（二系統とも ばく-ばく）
11	954645-360-0056	かいらい	疥癩	かい-らい	align	o	
12	954646-076-0034	かいぜん	潰然	くわい-ぜん	align	o	
13	954647-319-0030	じつき	地搗	ぢつき	align	o	
14	954647-345-0026	ちゅうこん	忠魂	ちゅう-こん	JMdict	o	
15	954647-620-0056	なやもの	納屋物	なやもの	align	o	
16	954648-294-0014	ふみ	蹈	ふみ	align	o	
17	954648-095-0007	はくがん	白雁	はく-がん	JMdict	o	
18	954645-351-0009	かいぐんしょうれい	海軍省令	かいぐんしやう-れい	align	o	
19	954648-393-0013	まくわうり	甜瓜	まくは-うり	JMdict	o	
20	954646-575-0048	しょちんじょう	初陳状	しょちん-じゃう	align	o	
21	954647-385-0034	つぎあw	繼合	つぎ-あはせる	JMdict	o	
22	954648-392-0041	まくたて	幕盾	まく-たて	align	o	
23	954646-239-0010	こころむけ	心向	こころ-むけ	align	o	
24	954646-460-0022	じっけい	實形	じっけい	L	o	
25	954648-696-0072	わりまつ	割松	わり-まつ	align	o	
26	954648-014-0046	にしのいちのつかさ	西市司	にしのいち-の-つかさ	align	o	
27	954646-235-0033	こころぐせ	心癖	こころ-ぐせ	JMdict	o	
28	954646-485-0034	じへい	寺兵	じへい	align	o	
29	954646-568-0028	しょきょう	諸經	しょ-きゃう	JMdict	o	
30	954647-502-0033	とうめいたい	透明體	とうめい-たい	L	o	
31	954645-071-0045	あましょうじ	雨障子	あま-しゃうじ	JMdict	o	
32	954648-317-0031	へいじゅう	兵戎	へいじゅう	align	o	
33	954645-601-0001	きょうどうきぎょう	共同企業	さょうどうきけふ	JMdict	o	
34	954645-405-0031	かけな	懸菜	かけな	align	o	
35	954647-350-0018	ちゅうとくがく	中督學	ちゅう-とくがく	align	o	
36	954648-252-0029	ふきだs	吹出	ふき-だす	JMdict	o	
37	954645-285-0017	おくえし	奧繪師	おく-ゑし	align	o	
38	954647-474-0039	でんしんかんしょ	電信官署	でんしん-くわんしょ	align	o	
