no	id	skk_key	notation	reading	method	judgment	note
1	954645-036-0045	あさつゆの	朝露之	あさつゆ-の	align	o	
2	954646-528-0018	しゃち	車地	しやち	JMdict	o	
3	954648-175-0054	ひきつr	引攣	ひき-つる	JMdict	o	
4	954648-201-0058	ひっつm	引詰	ひっ-つむ	JMdict	o	
5	954645-480-0069	かまどの	釜殿	かま-どの	align	o	
6	954646-564-0005	しょうこだt	證據立	しょうこ-だつ	L	o	
7	954646-348-0073	さかしり	逆尻	さか-しり	align	o	
8	954647-322-0033	ちばわらい	千葉笑	ちば-わらひ	align	o	
9	954647-378-0002	つうしんじぎょう	通信事業	つうしんじげふ	JMdict	o	
10	954646-094-0057	かふうらく	和風樂	くわふう-らく	align	o	
11	954648-381-0030	ほんばら	本腹	ほん-ばら	JMdict	o	
12	954646-211-0039	こきりこおどり	小切子踊	こきりこ-をどり	align	o	
13	954647-006-0002	すうたい	素謠	す-うたひ	L	o	
14	954645-394-0044	がくか	學科	がく-くわ	align	o	
15	954648-324-0018	へきげん	僻言	へきげん	JMdict	o	
16	954645-472-0029	ごうへき	合壁	がふへき	align	o	
17	954646-573-0025	しょし	書師	しょし	align	o	
18	954645-166-0056	いいすてかい	言捨會	いひすて-くわい	align	o	
19	954647-108-0031	せりあg	迫上	せり-あぐ	JMdict	o	
20	954647-027-0061	すみざけ	清酒	すみ-ざけ	align	o	
21	954646-543-0026	じゅこうちょう	授口帳	じゅこう-ちゃう	align	o	
22	954648-273-0024	ふそろい	不揃	ふ-そろひ	JMdict	o	
23	954645-428-0012	かたかずら	片葛	かた-かづら	align	o	
24	954646-039-0040	くわのゆみ	桑弓	くは-の-ゆみ	align	o	
25	954645-125-0019	いそいり	磯煎	いそ-いり	align	o	
26	954645-245-0003	うりづけ	瓜漬	うりづけ	align	o	
27	954646-093-0035	かてい	禍梯	くわ-てい	align	o	
28	954645-518-0063	かんしひょう	監視票	かんし-へう	align	o	
29	954647-227-0025	とうりん	桃林	たう-りん	JMdict	o	
30	954646-218-0013	こくたい	國體	こく-たい	L	o	
31	954646-544-0023	しゅし	朱四	しゅし	align	o	
32	954648-476-0049	むぎかり	麥刈	むぎ-かり	JMdict	o	
33	954645-284-0006	おくみ	御組	おくみ	align	o	
34	954648-120-0041	はどうせつ	波動説	はどう-せつ	JMdict	o	
35	954646-293-0042	こおりもち	氷餅	こほり-もち	JMdict	o	
36	954645-612-0020	きらんそう	金瘡小草	きらん-さう	JMdict	o	
37	954646-618-0031	しんおうだい	親王代	しんわう-だい	align	o	
38	954645-422-0004	かすみいろ	霞色	かすみ-いろ	align	o	
39	954646-073-0033	かいけいぼ	會計簿	くわいけい-ぼ	JMdict	o	
40	954648-653-0020	りょうとう	龍頭	りょう-とう	L	o	
41	954648-455-0009	みつゆにゅうひん	密輸入品	みつゆにふ-ひん	align	o	
42	954646-054-0045	くらいれめんじょう	庫入免状	くらいれ-めんじゃう	align	o	
43	954647-127-0028	ぜんでん	前電	ぜん-でん	JMdict	o	
44	954647-522-0045	としどし	年年	とし-どし	JMdict	o	
45	954645-480-0048	かまそこ	釜底	かまそこ	align	o	
46	954646-168-0050	げんじもの	源氏物	げんじ-もの	align	o	
47	954645-266-0027	えびすまつり	惠比須祭	えびす-まつり	align	o	
48	954648-446-0011	みずあさぎ	水淺葱	みづ-あさぎ	L	o	
49	954648-645-0002	りゅうがく	立樂	りふ-がく	align	o	
50	954647-405-0067	つなみ	津浪	つなみ	JMdict	o	
51	954645-597-0033	きゅうちゅうも	宮中喪	きゅうちゅう-も	align	o	
52	954648-156-0018	はんすう	半數	はん-すう	L	o	
53	954646-604-0021	しんしゅ	眞趣	しんしゅ	align	o	
54	954647-504-0049	どかたぐわ	土方鍬	どかた-ぐは	align	o	
55	954648-696-0078	わりもと	割元	わり-もと	align	o	
56	954647-327-0024	ちょうきちぶね	長吉船	ちゃうきちぶね	align	o	
57	954647-230-0043	たかせぶね	高瀨船	たかせ-ぶね	align	o	
58	954647-117-0007	せんこう	淺紅	せん-こう	L	o	
59	954648-304-0051	ふろく	附錄	ふろく	L	o	
60	954646-238-0045	こころみえ	心見	こころ-みえ	align	o	
61	954648-023-0044	にいつくり	新作	にひつくり	align	o	
62	954645-377-0040	こうようず	航洋圖	かうやう-づ	align	o	
63	954646-591-0005	しろばえ	白映	しろ-ばえ	align	o	
64	954648-011-0010	にげうs	逃失	にげ-うせる	JMdict	o	
65	954646-617-0022	しんりょう	眞龍	しんりょう	align	o	
66	954645-219-0006	うつしぐら	移鞍	うつし-ぐら	align	o	
67	954647-429-0012	であいやど	出合宿	であひ-やど	JMdict	o	
68	954647-172-0027	そらやまぶし	空山伏	そら-やまぶし	align	o	
69	954645-020-0061	あかぬけ	垢拔	あか-ぬけ	L	o	
70	954645-047-0051	あだぜに	徒錢	あだ-ぜに	align	o	
71	954645-231-0049	うまあしがる	馬足輕	うま-あしがる	align	o	
72	954648-280-0017	ふつうこう	普通項	ふつう-かう	align	o	
73	954648-129-0047	はなh	嚏	はな-ひる	JMdict	o	
74	954645-140-0009	いず	何	いづ	align	o	
