no	id	skk_key	notation	reading	method	judgment	note
1	954648-178-0022	ひきり	火鑽	ひ-きり	JMdict	o	
2	954646-166-0008	けんこんつうほう	乾坤通寶	けんこん-つうはう	align	o	
3	954648-266-0020	ふしゅうでん	俘囚田	ふしう-でん	align	o	
4	954645-049-0023	あたりばち	當鉢	あたりばち	L	o	
5	954646-352-0031	さきくぐり	先潛	さき-くぐり	JMdict	o	
6	954645-535-0031	きゅうたい	球帶	きうたい	JMdict	o	
7	954646-604-0027	しんじゅ	眞珠	しんじゅ	L	o	
8	954646-390-0008	さわぎたt	騷立	さわぎ-たつ	JMdict	o	
9	954646-254-0037	こすず	小鈴	こ-すず	align	o	
10	954647-457-0034	てて	手手	て-て	JMdict	o	
11	954648-006-0004	にがきか	苦木科	にがきくわ	align	o	
12	954646-242-0012	こさぶえ	胡沙笛	こさ-ぶえ	align	o	
13	954648-309-0019	ぶんしょし	文書司	ぶんしょ-し	align	o	
14	954645-330-0003	おもてがかり	表掛	おもて-がかり	align	o	
15	954647-371-0004	ちんじゅみょうじん	鎭守明神	ちんじゅ-みゃうじん	align	o	
16	954647-552-0002	とりちがe	取違	とり-ちがふ	JMdict	o	
17	954648-143-0024	はやびとのじょう	隼人佑	はやびと-の-じょう	align	o	
18	954646-204-0002	ごようてっせん	五曜鐵線	ごえう-てっせん	align	o	
19	954645-212-0055	うちころs	打殺	うち-ころす	JMdict	o	
20	954645-272-0038	えんてい	炎帝	えん-てい	align	o	
21	954645-072-0048	あまつひつぎ	天津日嗣	あま-つ-ひつぎ	JMdict	o	
22	954647-138-0032	ぞうかおんきゅう	増加恩給	ぞうか-おんきふ	align	o	
23	954647-236-0012	だきそだt	抱育	だき-そだつ	align	o	
24	954645-182-0060	いれちがe	入違	いれちがふ	JMdict	o	
25	954647-226-0040	とうやく	湯藥	たう-やく	L	o	
26	954645-207-0064	うだい	有待	うだい	align	o	
27	954648-470-0030	みよしのまつり	御葭祭	みよし-の-まつり	align	o	
28	954646-107-0027	がんほどき	願解	ぐわんほどき	JMdict	o	
29	954646-384-0039	さやとり	鞘取	さや-とり	JMdict	o	
30	954648-011-0068	にごいた	二五板	にご-いた	align	o	
31	954647-335-0037	じょうれい	杖藜	ぢゃう-れい	align	o	
32	954648-642-0038	りたん	履端	りたん	align	o	
33	954647-295-0001	たんたい	單體	たん-たい	L	o	
34	954647-561-0020	ないい	内衣	ない-い	JMdict	o	
35	954646-324-0024	さいぞういち	才蔵市	さいざう-いち	align	o	
36	954646-394-0046	ざんか	殘花	ざん-くわ	JMdict	o	
37	954645-025-0062	あきち	明地	あき-ち	JMdict	o	
38	954646-459-0006	しっかいや	悉皆屋	しっかい-や	align	o	
39	954646-286-0017	こびおも	媚面	こび-おも	align	o	
40	954646-457-0033	じちょう	仕丁	じ-ちゃう	JMdict	o	
41	954648-369-0043	ほうしごのいね	法師子稻	ほふしご-の-いね	align	o	
42	954648-251-0014	ふきあわs	葺合	ふきあはす	align	o	
43	954645-087-0019	ありゅうさん	亞硫酸	あ-りうさん	L	o	
44	954647-587-0028	なげに	投荷	なげ-に	JMdict	o	
45	954645-336-0025	おもいわけr	思分	おもひわける	align	o	
46	954646-303-0050	ごらん	御覽	ごらん	L	o	
47	954645-613-0019	きりいr	切入	きり-いる	JMdict	o	
48	954647-098-0017	せっさいせん	雪際線	せっさい-せん	align	o	
49	954648-401-0034	まだらうり	斑瓜	まだら-うり	align	o	
50	954646-496-0005	じもん	自門	じもん	align	o	
51	954645-419-0016	かしらだか	頭高	かしら-だか	JMdict	o	
52	954648-126-0009	はなしかk	話掛	はなし-かく	JMdict	o	
53	954645-042-0052	あしのや	葦屋	あし-の-や	align	o	
54	954647-299-0024	たんもん	端門	たん-もん	align	o	
55	954645-095-0046	あおみかん	青蜜柑	あを-みかん	JMdict	o	
56	954647-229-0048	たかきび	高黍	たか-きび	JMdict	o	
57	954646-139-0030	げし	解司	げ-し	align	o	
58	954646-465-0056	しでのたおさ	死出田長	しで-の-たをさ	JMdict	o	
59	954648-257-0027	ぶくs	服	ぶくす	align	o	
60	954645-449-0051	かなくまで	金熊手	かな-くまで	align	o	
61	954647-180-0020	たいあんにち	大安日	たいあん-にち	align	o	
62	954648-030-0004	にょらいばい	如來唄	にょらい-ばい	align	o	
63	954648-150-0006	はりしたがさね	張下襲	はり-したがさね	align	o	
64	954647-544-0067	ともぶね	友船・伴船	とも-ぶね	JMdict	o	
65	954645-182-0038	いれこくび	入子首	いれこくび	align	o	
66	954645-497-0019	からがし	唐菓子	から-ぐわし	align	o	
67	954648-176-0064	ひきはなt	引放	ひき-はなつ	JMdict	o	
68	954645-369-0006	こうじょう	考状	かうじゃう	align	o	
69	954646-450-0043	したぐも	下雲	した-ぐも	align	o	
70	954648-416-0037	まむきまわり	眞向廻	まむき-まはり	align	o	
71	954645-613-0064	きりかみ	切髮	きり-かみ	L	o	
72	954645-026-0005	あきつみかみ	現御神	あきつ-みかみ	JMdict	o	
73	954648-267-0001	ふしごと	節事	ふし-ごと	align	o	
74	954647-403-0028	つつみだきいね	包抱稻	つつみ-だきいね	align	o	
75	954645-146-0019	いってつもの	一徹者	いってつ-もの	JMdict	o	
76	954647-339-0066	じやま	地山	ぢ-やま	align	o	
77	954645-037-0058	あさひながいも	朝日長芋	あさひながいも	align	o	
78	954645-393-0022	かくい	客意	かくい	align	o	
79	954647-208-0003	だいぶつせん	大佛錢	だいぶつ-せん	align	o	
