no	id	skk_key	notation	reading	method	judgment	note
1	954647-326-0031	じょうえん	錠鉛	ぢゃう-えん	align	o	
2	954645-443-0019	かっせき	褐石	かっせき	align	o	
3	954645-075-0001	あまもの	甘物	あま-もの	align	o	
4	954648-173-0014	ひきかけむしろ	引懸筵	ひきかけ-むしろ	align	o	
5	954645-403-0052	かけかまい	掛構	かけ-かまひ	JMdict	o	
6	954647-501-0005	どうぶんぼ	同分母	どう-ぶんぼ	JMdict	o	
7	954645-300-0025	おとひめぎみ	弟姫君	おとひめ-ぎみ	align	o	
8	954646-507-0034	じょうしゅ	上手	じゃう-しゅ	align	o	
9	954645-068-0047	あおりいか	障泥烏賊	あふり-いか	JMdict	o	
10	954647-307-0043	ちからね	力根	ちから-ね	align	o	
11	954645-027-0009	あきまめ	秋豆	あき-まめ	align	o	
12	954646-135-0048	げかんのうま	下駻馬	げかん-の-うま	align	o	
13	954645-319-0010	おおなおび	大直日	おほなほび	align	o	
14	954646-174-0018	けんちちょう	檢地帳	けんちちゃう	L	o	
15	954645-341-0029	おりべやき	織部燒	おりべ-やき	L	o	
16	954647-093-0039	せじどころ	世事所	せじ-どころ	align	o	
17	954647-628-0027	なんぎょく	軟玉	なん-ぎょく	JMdict	o	
18	954647-607-0022	のうぜいしかく	納税資格	なふぜいしかく	align	o	
19	954648-325-0005	へこおび	兵兒帶	へこ-おび	L	o	
20	954646-100-0017	かんかん	煥煥	くわん-くわん	align	o	
21	954647-164-0054	そばm	側	そばむ	JMdict	o	
22	954647-505-0009	とかま	利鎌	と-かま	JMdict	o	
23	954648-335-0029	へんじ	變事	へんじ	L	o	
24	954645-337-0032	おもやく	重役	おも-やく	align	o	
25	954648-685-0019	わくじょう	惑情	わく-じゃう	align	o	
26	954645-315-0047	おおじょりん	大如輪	おほじょりん	align	o	
27	954648-027-0056	にめんかぶと	二面冑	にめん-かぶと	align	o	
28	954648-158-0029	ばんてしゅう	番手衆	ばんて-しゅう	align	o	
29	954648-028-0002	にもつぶね	荷物船	にもつ-ぶね	align	o	
30	954647-376-0047	つうじょうゆうびん	通常郵便	つうじゃういうびん	JMdict	o	
31	954648-704-0036	いどほり	井戶堀	ゐど-ほり	align	o	
32	954648-200-0054	ひっしょう	筆匠	ひっ-しゃう	align	o	
33	954648-109-0017	はたさき	旗先	はた-さき	align	o	
34	954647-035-0049	すいさく	水柵	すゐ-さく	align	o	
35	954645-139-0018	いちれつうかがい	一列伺	いちれつ-うかがひ	align	o	
36	954645-493-0016	かやのあぶら	榧油	かやのあぶら	align	o	
37	954647-434-0040	ていそ	挺楚	てい-そ	align	o	
38	954648-040-0048	ぬめりんず	絖綸子	ぬめりんず	align	o	
39	954648-652-0001	りゅうぢん	龍陣	りゅう-ぢん	align	o	
40	954645-052-0034	あずちや	垜屋	あづち-や	align	o	
41	954648-107-0005	はしけいご	橋警固	はし-けいご	align	o	
42	954647-623-0044	ならべもん	並紋	ならべ-もん	align	o	
43	954645-516-0022	かんけき	間隙	かん-けき	align	o	
44	954646-040-0041	くいあu	食合	くひ-あふ	JMdict	o	
45	954645-326-0009	おおわきざし	大脇差	おほわきざし	align	o	
46	954646-321-0014	さいかくもの	才覺者	さいかく-もの	JMdict	o	
47	954648-095-0019	はくぎょく	璞玉	はく-ぎょく	JMdict	o	
48	954645-400-0059	かくりよ	隱世	かくり-よ	JMdict	o	
49	954648-551-0010	やきものばち	燒物鉢	やきものばち	align	o	
50	954645-369-0011	こうじょうだか	高聲高	かうじゃう-だか	align	o	
51	954648-315-0008	へいかく	兵革	へい-かく	JMdict	o	
52	954647-120-0027	せんしょうぎょく	尖晶玉	せんしゃう-ぎょく	align	o	
53	954646-288-0023	こいめ	乞目	こひめ	align	o	
54	954648-564-0041	やつかぼ	八束穗	やつか-ぼ	align	o	
55	954646-309-0029	こえつ	胡越	こ-ゑつ	align	o	
56	954648-005-0052	にがいろ	苦色	にがいろ	align	o	
57	954645-132-0048	いちごしょう	一期生	いちご-しゃう	align	o	
58	954647-458-0015	でなおり	出直	で-なほり	align	o	
59	954645-076-0003	あみぎぬ	阿彌衣	あみ-ぎぬ	align	o	
60	954646-525-0031	じゃけんしん	邪見心	じゃけん-しん	align	o	
61	954648-270-0021	ふしんしゅう	普請衆	ふしん-しゅう	align	o	
62	954648-266-0030	ぶしかたぎ	武士氣質	ぶしかたぎ	JMdict	o	
63	954645-018-0051	あかご	赤兒	あかご	L	o	
64	954647-469-0030	でんきろ	電氣爐	でんき-ろ	L	o	
65	954648-470-0032	みよはじめ	御代始	みよ-はじめ	align	o	
66	954646-024-0065	くだりむき	下向	くだり-むき	align	o	
67	954648-718-0030	えんおう	寃枉	ゑんわう	align	o	
68	954648-434-0028	みぎのふで	右筆	みぎ-の-ふで	align	o	
69	954647-476-0012	てんせん	點線	てん-せん	L	o	
70	954647-105-0031	せばや	狹屋	せばや	align	o	
71	954647-593-0005	なだいみ	灘忌	なだ-いみ	align	o	
72	954646-404-0035	さんだんがさ	三段笠	さんだん-がさ	align	o	
73	954645-153-0030	いどみがお	挑顏	いどみ-がほ	align	o	
74	954648-527-0016	もとごめじゅう	元込銃	もとごめ-じゅう	JMdict	o	
75	954647-387-0070	つきつm	突詰	つき-つめる	JMdict	o	
76	954645-274-0011	えんりょう	炎凉	えん-りゃう	align	o	
77	954645-621-0005	きんおう	金甌	きん-おう	align	o	
78	954647-079-0005	しょうてん	焦點	せう-てん	L	o	
79	954645-061-0047	あいあか	間赤	あひ-あか	align	o	
80	954646-412-0020	さんろんしゅう	三論宗	さんろん-しゅう	JMdict	o	
81	954646-583-0025	しらべいと	調絲	しらべ-いと	align	o	
82	954645-161-0058	いわすすき	岩薄	いはすすき	align	o	
83	954647-092-0004	せきりん	石淋	せき-りん	JMdict	o	
84	954646-420-0002	じゅうせい	獸性	じうせい	L	o	
85	954645-128-0001	いたごし	板輿	いた-ごし	align	o	
86	954646-349-0046	さかなあみ	魚網	さかな-あみ	align	o	
87	954648-318-0013	へいせきぼ	兵籍簿	へいせさぼ	align	o	
88	954647-039-0008	すいちゅう	醉中	すゐ-ちゅう	align	o	
89	954647-255-0029	だちんとり	駄賃取	だちん-とり	align	o	
90	954648-505-0024	めくらうなぎ	盲鰻	めくら-うなぎ	JMdict	o	
91	954646-516-0020	じょうぼんげしょう	上品下生	じゃうぼん-げしゃう	align	o	
92	954647-571-0065	なかぎり	中切	なか-ぎり	align	o	
93	954648-540-0031	もんじょういん	文章院	もんじゃう-ゐん	align	o	
94	954646-303-0050	ごらん	御覽	ごらん	L	o	
95	954645-232-0045	うまぐるま	馬車	うま-ぐるま	align	o	
96	954648-495-0042	むらのぎょうじ	村行事	むらの-ぎゃうじ	align	o	
97	954648-102-0015	はげちゃびん	禿茶瓶	はげ-ちゃびん	JMdict	o	
98	954647-279-0043	たまゆか	玉床	たま-ゆか	align	o	
99	954646-157-0022	けものへん	獸偏	けもの-へん	L	o	
100	954648-693-0028	わよりょう	和與領	わよ-りゃう	align	o	
101	954648-215-0034	ひみつしゅうかい	秘密集會	ひみつ-しふくわい	L	o	
102	954646-158-0007	けらげい	螻蛄藝	けら-げい	JMdict	o	
103	954645-187-0025	いんかしょくぶつ	隱花植物	いんくわ-しょくぶつ	L	o	
104	954648-671-0022	れんげほうざ	蓮華寶座	れんげ-ほうざ	align	o	
105	954645-217-0029	うちわけ	打分	うち-わけ	align	o	
106	954648-735-0045	おんなくせまい	女曲舞	をんなくせまひ	align	o	
107	954648-640-0053	りくりつ	六律	りく-りつ	align	o	
108	954648-310-0021	ぶんどう	文道	ぶん-だう	align	o	
109	954645-123-0040	いしわたごろも	石綿衣	いしわた-ごろも	align	o	
110	954645-165-0068	いいかえs	言返	いひかへす	JMdict	o	
111	954648-011-0017	にげかくr	逃隱	にげ-かくれる	JMdict	o	
112	954648-076-0038	のりこみやり	乘込槍	のりこみやり	align	o	
113	954647-386-0055	つきぐるま	衝車	つき-ぐるま	align	o	
114	954648-342-0007	ほうえき	縫掖	ほう-えき	align	o	
115	954646-366-0012	さしずしき	指圖式	さしづ-しき	align	o	
116	954648-283-0027	ぶったおr	打倒	ぶっ-たふれる	JMdict	o	
117	954645-330-0024	おもてどうぐ	面道具	おもて-だうぐ	align	o	
118	954645-583-0034	きもんずみ	鬼門隅	きもん-ずみ	align	o	
119	954645-621-0044	ぎんこうわりびき	銀行割引	ぎんかう-わりびき	JMdict	o	
120	954646-592-0004	しろえんどう	白豌豆	しろゑんどう	align	o	
121	954646-076-0041	かいそ	繪素	くわい-そ	align	o	
122	954645-112-0041	いきつぎ	息繼	いき-つぎ	L	o	
123	954648-627-0046	ろう	蠟	らふ	JMdict	o	
124	954647-629-0001	なんきんにんぎょう	南京人形	なんきん-にんぎゃう	align	o	
125	954647-186-0040	たいかん	大冠	たいくわん	align	o	
126	954645-053-0061	あつようがみ	厚樣紙	あつやう-がみ	align	o	
127	954648-032-0003	にんこく	任國	にん-こく	align	o	
128	954645-461-0011	かわほとり	川邊	かはほとり	align	o	
129	954645-493-0042	かやりこ	蚊遣粉	かやり-こ	align	o	
130	954647-181-0009	たいいつせい	太乙星	たいいつ-せい	align	o	
131	954647-083-0016	しょうえん	小怨	せうゑん	align	o	
132	954645-215-0024	うじのやっこ	氏奴	うぢ-の-やっこ	align	o	
133	954646-297-0009	こまよせ	駒寄	こま-よせ	JMdict	o	
134	954647-057-0040	せいせんにん	成選人	せいせん-にん	align	o	
135	954648-682-0022	わかばえ	若生	わか-ばえ	align	x	紙面は わか-はえ（二系統が同じ誤読）
