no	id	skk_key	notation	reading	method	judgment	note
83	954645-489-0018	かむなべ	神嘗	かむ-なべ	none	o	
84	954647-396-0071	つけまわs	附廻	つけまはす	none	o	
85	954648-338-0032	へんに	版位	へんに	none	o	
86	954646-008-0013	くぎぬきもん	釘貫門	くぎぬき-もん	none	o	
87	954648-137-0021	はまざみ	濱君	はま-ざみ	none	x	紙面は はま-ぎみ
88	954648-513-0011	めりけんぱり	米利堅針	めりけん-ぱり	align	x	濁点・半濁点が判別しにくい（ばり？）
89	954645-326-0057	おましまs	御座	おまし-ます	none	o	
90	954646-587-0030	しるべがお	導顏	しるべ-がほ	none	o	
91	954647-305-0064	ちがいのし	違熨斗	ちがひのし	none	o	
92	954645-074-0020	あまのまい	案摩舞	あま-の-まひ	none	o	
93	954647-265-0023	たにぎr	手握	た-にぎる	none	o	
94	954645-284-0044	おくりさん	送金	おくり-さん	none	x	紙面は おくり-きん
95	954646-363-0006	ささわけごろも	篠分衣	ささわけ-ごろも	none	o	
96	954647-392-0067	つくまなべ	筑摩鍋	つくま-なべ	none	o	
97	954645-299-0003	おどしぐさ	威種	おどし-ぐさ	none	o	
98	954646-143-0035	けたうちまわし	桁打廻	けた-うちまはし	none	o	
99	954645-457-0005	かわきぎす	川雉子	かは-きぎす	none	o	
100	954648-602-0016	よじi	捩	よぢゐ	none	x	紙面は よぢる
101	954646-611-0018	しんとう	津頭	しんとう	align	o	
102	954645-413-0069	かざり	機躍	かざり	none	x	表記は 機躡
103	954645-152-0040	いとのくつ	絲鞋	いと-の-くつ	none	o	
104	954647-389-0024	つきほがり	春穗刈	つき-ほがり	none	x	表記は 舂穗刈
105	954648-226-0035	ひやこs	冷	ひやこし	none	o	
106	954647-372-0018	じんたいまつ	陣松明	ぢん-たいまつ	none	o	
107	954646-263-0014	こじゃや	小茶屋	こ-ぢゃや	none	o	
108	954646-066-0015	くれわたr	暮渡	くれ-わたる	none	o	
109	954648-581-0030	ゆいつけr	結附	ゆひつける	none	o	
110	954648-178-0004	ひきやu	引合	ひき-やふ	none	o	
111	954648-218-0016	ひめゆり	山丹	ひめ-ゆり	none	o	
112	954645-401-0017	かくれかご	隱駕籠	かくれ-かご	none	o	
113	954646-267-0051	こてぶくろ	籠手袋	こて-ぶくろ	none	o	
114	954648-447-0017	みついてうびし	三銀杏菱	みついてふ-びし	none	x	てふ を ちょう に変換していない
115	954648-555-0044	やぐらしたつ	矢倉立	やぐらしたつ	none	x	紙面は やぐら-たつ
116	954645-087-0042	ありきぞめ	歩行初	ありき-ぞめ	none	o	
117	954648-399-0017	ひ	所繫祝	ひ	none	x	読みが欠落、表記も誤り
118	954647-588-0038	なさら	菜候	な-さら	none	x	紙面は な-さう
119	954645-310-0026	おおいしるすつかさ	大外記	おほいしるすつかさ	none	o	
120	954647-124-0038	せんだいささげ	仙臺大角豆	せんだい-ささげ	none	o	
121	954645-341-0013	おりわ	下際	おりは	none	x	紙面は おり-は（区切りの脱落で は を わ にした）
122	954645-216-0030	つちまz	打交	つちまず	none	x	紙面は うち-まず
123	954645-222-0046	うつろわs	移	うつろはす	none	o	
124	954646-207-0031	こがわせきん	小爲替金	こがはせきん	none	o	
125	954645-409-0044	かごぶね	籠籠船	かごぶね	none	x	表記は 籠船
126	954645-543-0045	さきいらk	聞開	さきひらく	none	x	紙面は きき-ひらく
127	954647-256-0006	たず	蓼	たづ	none	x	紙面は たで
128	954647-149-0007	そぐs	過	そぐす	none	o	
129	954648-475-0071	むかいめ	嫡妻	むかひめ	none	o	
130	954646-506-0021	じょうじはんにん	常事犯人	じゃうじ-はんにん	align	o	
131	954645-031-0051	あげたたみ	上疊	あげたたみ	align	o	
132	954645-570-0049	きなこめし	黄粉飯	きなこ-めし	none	o	
133	954645-172-0029	いぼつ	五百箇	いぼつ	none	x	紙面は いほ-つ
