no	id	skk_key	notation	reading	method	judgment	note
93	954647-387-0070	つきつm	突詰	つき-つめる	JMdict	o	
94	954645-274-0011	えんりょう	炎凉	えん-りゃう	align	o	
95	954645-621-0005	きんおう	金甌	きん-おう	align	o	
96	954648-322-0025	ひょうちゅう	標柱	へう-ちゅう	L	o	
97	954645-286-0003	おこたr	怠	おこたる	L	o	
98	954646-136-0002	げき	鷁	げき	L	o	
99	954645-238-0007	うめぞめ	梅染	うめ-ぞめ	L	o	
100	954647-079-0005	しょうてん	焦點	せう-てん	L	o	
101	954647-127-0008	せんてい	先帝	せん-てい	L	o	
102	954646-281-0034	このたび	此度	この-たび	L	o	
103	954645-595-0033	きゃくよう	客用	きゃく-よう	L	o	
104	954645-061-0047	あいあか	間赤	あひ-あか	align	o	
105	954646-412-0020	さんろんしゅう	三論宗	さんろん-しゅう	JMdict	o	
106	954645-567-0025	ぎっちょう	毬杖	ぎっちゃう	L	o	
107	954648-486-0005	むすび	結	むすび	L	o	
108	954646-583-0025	しらべいと	調絲	しらべ-いと	align	o	
109	954648-368-0043	ほばしら	帆柱	ほ-ばしら	L	o	
110	954645-161-0058	いわすすき	岩薄	いはすすき	align	o	
111	954647-092-0004	せきりん	石淋	せき-りん	JMdict	o	
112	954646-420-0002	じゅうせい	獸性	じうせい	L	o	
113	954645-563-0057	きち	危地	きち	L	o	
114	954645-128-0001	いたごし	板輿	いた-ごし	align	o	
115	954646-349-0046	さかなあみ	魚網	さかな-あみ	align	o	
116	954645-051-0068	あつさ	厚	あつさ	L	o	
117	954648-318-0013	へいせきぼ	兵籍簿	へいせさぼ	align	o	
118	954645-419-0062	かじん	佳人	かじん	L	o	
119	954647-039-0008	すいちゅう	醉中	すゐ-ちゅう	align	o	
120	954647-255-0029	だちんとり	駄賃取	だちん-とり	align	o	
121	954645-060-0025	あわだt	粟立	あは-だつ	L	o	
122	954646-457-0019	しちや	七夜	しちや	L	o	
123	954648-505-0024	めくらうなぎ	盲鰻	めくら-うなぎ	JMdict	o	
124	954646-516-0020	じょうぼんげしょう	上品下生	じゃうぼん-げしゃう	align	o	
125	954647-571-0065	なかぎり	中切	なか-ぎり	align	o	
126	954648-540-0031	もんじょういん	文章院	もんじゃう-ゐん	align	o	
127	954646-303-0050	ごらん	御覽	ごらん	L	o	
128	954648-147-0028	はらみつ	波羅蜜	はらみつ	L	o	
129	954645-232-0045	うまぐるま	馬車	うま-ぐるま	align	o	
130	954648-495-0042	むらのぎょうじ	村行事	むらの-ぎゃうじ	align	o	
131	954648-102-0015	はげちゃびん	禿茶瓶	はげ-ちゃびん	JMdict	o	
132	954647-279-0043	たまゆか	玉床	たま-ゆか	align	o	
133	954646-157-0022	けものへん	獸偏	けもの-へん	L	o	
134	954645-016-0007	おうぎ	奥義	あうぎ	L	o	
135	954648-693-0028	わよりょう	和與領	わよ-りゃう	align	o	
136	954645-581-0021	きみず	黄身酢	きみ-ず	L	o	
137	954648-215-0034	ひみつしゅうかい	秘密集會	ひみつ-しふくわい	L	o	
138	954646-158-0007	けらげい	螻蛄藝	けら-げい	JMdict	o	
139	954645-187-0025	いんかしょくぶつ	隱花植物	いんくわ-しょくぶつ	L	o	
140	954648-671-0022	れんげほうざ	蓮華寶座	れんげ-ほうざ	align	o	
141	954645-630-0030	ぎんでい	銀泥	さんでい	dict-reading	o	
142	954645-217-0029	うちわけ	打分	うち-わけ	align	o	
143	954648-356-0036	ぼしょ	簿書	ぼしょ	L	o	
144	954648-735-0045	おんなくせまい	女曲舞	をんなくせまひ	align	o	
145	954648-640-0053	りくりつ	六律	りく-りつ	align	o	
146	954648-310-0021	ぶんどう	文道	ぶん-だう	align	o	
147	954645-123-0040	いしわたごろも	石綿衣	いしわた-ごろも	align	o	
148	954645-165-0068	いいかえs	言返	いひかへす	JMdict	o	
149	954648-011-0017	にげかくr	逃隱	にげ-かくれる	JMdict	o	
150	954648-076-0038	のりこみやり	乘込槍	のりこみやり	align	o	
151	954647-386-0055	つきぐるま	衝車	つき-ぐるま	align	o	
152	954645-339-0006	おやふこう	親不孝	おや-ふかう	L	o	
153	954648-342-0007	ほうえき	縫掖	ほう-えき	align	o	
154	954648-558-0012	やさすがた	優姿	やさ-すがた	L	o	
155	954645-307-0011	おびただs	夥	おびただし	L	o	
156	954646-366-0012	さしずしき	指圖式	さしづ-しき	align	o	
157	954648-283-0027	ぶったおr	打倒	ぶっ-たふれる	JMdict	o	
158	954645-330-0024	おもてどうぐ	面道具	おもて-だうぐ	align	o	
159	954645-583-0034	きもんずみ	鬼門隅	きもん-ずみ	align	o	
160	954645-621-0044	ぎんこうわりびき	銀行割引	ぎんかう-わりびき	JMdict	o	
161	954646-592-0004	しろえんどう	白豌豆	しろゑんどう	align	o	
162	954646-076-0041	かいそ	繪素	くわい-そ	align	o	
163	954645-112-0041	いきつぎ	息繼	いき-つぎ	L	o	
164	954648-627-0046	ろう	蠟	らふ	JMdict	o	
165	954647-629-0001	なんきんにんぎょう	南京人形	なんきん-にんぎゃう	align	o	
166	954648-585-0045	ゆみや	弓矢	ゆみや	L	o	
167	954647-186-0040	たいかん	大冠	たいくわん	align	o	
168	954645-053-0061	あつようがみ	厚樣紙	あつやう-がみ	align	o	
169	954645-410-0002	かさ	瘡	かさ	L	o	
170	954647-151-0024	ぞくへい	賊兵	ぞくへい	L	o	
171	954648-032-0003	にんこく	任國	にん-こく	align	o	
172	954645-461-0011	かわほとり	川邊	かはほとり	align	o	
173	954645-493-0042	かやりこ	蚊遣粉	かやり-こ	align	o	
174	954647-181-0009	たいいつせい	太乙星	たいいつ-せい	align	o	
175	954647-083-0016	しょうえん	小怨	せうゑん	align	o	
176	954645-215-0024	うじのやっこ	氏奴	うぢ-の-やっこ	align	o	
177	954646-469-0038	しなんやく	指南役	しなん-やく	L	o	
178	954646-297-0009	こまよせ	駒寄	こま-よせ	JMdict	o	
179	954648-250-0024	ふかむらさき	深紫	ふか-むらさき	L	o	
180	954645-308-0007	おいばね	追羽根	おひ-ばね	L	o	
181	954648-219-0051	びょうきん	病菌	びゃう-きん	L	o	
182	954647-057-0040	せいせんにん	成選人	せいせん-にん	align	o	
183	954648-682-0022	わかばえ	若生	わか-ばえ	align	x	紙面は わか-はえ（二系統が同じ誤読）
184	954647-167-0046	そむk	背	そむく	L	o	
185	954645-391-0009	かきようかん	柿羊羹	かき-やうかん	align	o	
186	954646-583-0054	しらもち	白餅	しらもち	align	o	
187	954646-547-0042	じゅたくはんばい	受託販賣	じゅたく-はんばい	L	o	
188	954646-078-0032	かいむ	會務	くわい-む	L	o	
189	954648-039-0068	ぬいめべ	縫女部	ぬひめ-べ	align	o	
190	954646-271-0035	ことがき	事書	こと-がき	align	o	
191	954648-181-0055	ひげん	飛言	ひ-げん	align	o	
192	954647-289-0026	たんが	旦過	たんぐわ	JMdict	o	
193	954648-442-0004	みぞれさけ	霙酒	みぞれ-さけ	align	o	
194	954645-614-0029	きりぐるま	桐車	きり-ぐるま	align	o	
195	954648-100-0053	はくらべ	羽校	は-くらべ	align	o	
196	954648-612-0037	よりあいいり	寄合入	よりあひ-いり	align	o	
197	954646-541-0064	しゅくやくにん	宿役人	しゅく-やくにん	align	o	
198	954647-447-0002	てがみことわり	手紙斷	てがみ-ことわり	align	o	
199	954646-412-0016	さんろう	山樓	さん-ろう	align	o	
200	954648-682-0040	わかむらさき	若紫	わか-むらさき	L	o	
201	954645-094-0065	あおはたの	青旗之	あをはた-の	align	o	
202	954647-015-0008	すすg	濯	すすぐ	L	o	
203	954646-268-0005	こでら	小寺	こでら	L	o	
204	954645-034-0046	あさがおぞめ	朝顏染	あさがほ-ぞめ	align	o	
205	954646-485-0005	じゅうろくらかん	十六羅漢	じふろく-らかん	L	o	
206	954647-363-0047	じょほう	除法	ぢょ-はふ	L	o	
207	954646-056-0068	くr	食	くらふ	L	o	
208	954646-300-0022	こもちおおびし	子持大菱	こもちおほびし	align	o	
209	954648-284-0048	ぶつりき	佛力	ぶつりさ	L	o	
210	954646-064-0008	くるめがすり	久留米絣	くるめがすり	align	o	
211	954648-733-0037	おりどころ	居所	をり-どころ	JMdict	o	
212	954645-038-0028	あさままつ	淺間松	あさま-まつ	align	o	
213	954646-195-0045	こうせいねん	恆星年	こうせいねん	JMdict	o	
214	954647-016-0043	すずめきんちゃく	雀巾著	すずめ-きんちゃく	align	o	
