no	id	skk_key	notation	reading	method	judgment	note
1	954647-406-0052	つのだいし	角大師	つの-だいし	align	o	
2	954648-126-0023	はなしづく	話盡	はなし-づく	align	o	
3	954645-023-0004	あからも	赤裳	あから-も	align	o	
4	954646-528-0014	しゃだん	社段	しゃだん	align	o	
5	954645-403-0056	かけかんばん	掛看板	かけ-かんばん	JMdict	o	
6	954645-477-0014	かえるおよぎ	蛙游	かへる-およぎ	align	o	
7	954648-215-0024	ひみず	日不見	いみず	JMdict	o	
8	954648-363-0029	ほっしゅ	法主	ほっ-しゅ	JMdict	o	
9	954646-013-0055	くさのみ	草實	くさのみ	align	o	
10	954648-288-0005	ふとともえ	太巴	ふと-ともゑ	align	o	
11	954647-620-0057	なやものし	納屋物師	なやものし	align	o	
12	954645-124-0017	いすぶとん	倚子蒲團	いす-ぶとん	align	o	
13	954646-509-0009	じょうせきしゃ	上席者	じゃうせき-しゃ	align	o	
14	954646-008-0041	くく	句句	くく	JMdict	o	
15	954646-140-0001	けしきざけ	氣色酒	けしき-ざけ	align	o	
16	954645-248-0066	うえもんのだいぶ	右衞門大夫	うゑもん-のだいぶ	align	o	
17	954646-053-0031	くもいがくれ	雲居隱	くもゐ-がくれ	align	o	
18	954645-114-0039	いくさぐるま	戰車	いくさ-ぐるま	align	o	
19	954647-499-0034	どうぼう	洞房	どう-ばう	JMdict	o	
20	954646-396-0030	さんけん	三權	さん-けん	L	o	
21	954648-190-0018	ひしょでん	祕書殿	ひしょ-でん	align	o	
22	954646-183-0030	けんいん	險韻	けん-ゐん	align	o	
23	954647-211-0033	たいようかい	太陽界	たいやう-かい	align	o	
24	954647-132-0040	せんぺい	千兵	せん-ぺい	align	o	
25	954648-167-0061	ひおおいやかた	日覆屋形	ひおほひ-やかた	align	o	
26	954648-492-0026	むぶしあみじ	無節網地	むぶし-あみぢ	align	o	
27	954647-054-0008	せいし	旌幟	せいし	align	o	
28	954645-624-0053	きんこうしょう	勤功章	きんこうしゃう	align	o	
29	954648-061-0049	のうにん	農人	のう-にん	JMdict	o	
30	954645-286-0017	おこないごえ	行聲	おこなひ-ごゑ	align	o	
31	954645-330-0041	おもてはこづくり	表箱造	おもて-はこづくり	align	o	
32	954646-427-0012	しかん	支干	しかん	align	o	
33	954647-028-0010	すみたてかく	隅立角	すみたて-かく	align	o	
34	954645-370-0008	こうしんまち	庚申待	かうしん-まち	JMdict	o	
35	954647-236-0070	だきみょうがくずし	抱茗荷崩	だきめうが-くづし	align	o	
36	954645-465-0038	かいき	甲斐絹	かひき	JMdict	o	
37	954646-345-0022	そうまい	倉米	さうまい	align	o	
38	954648-129-0042	はなびら	花瓣	はな-びら	L	o	
39	954645-135-0038	いちのひと	一人	いちのひと	align	o	
40	954646-032-0008	くづくろい	句繕	く-づくろひ	align	o	
41	954647-414-0032	つみやぐ	積夜具	つみ-やぐ	align	o	
42	954648-405-0017	まつがねまくら	松根枕	まつがね-まくら	align	o	
43	954647-122-0022	せんすじ	千筋	せん-すぢ	JMdict	o	
44	954645-475-0042	かべのこん	壁獻	かべ-のこん	align	o	
45	954645-194-0009	うきしまにんぎょう	浮島人形	うきしま-にんぎゃう	align	o	
46	954647-311-0048	じぐも	地蜘蛛	ぢぐも	JMdict	o	
47	954648-408-0039	まつりごとや	政屋	まつりごとや	align	o	
48	954647-527-0018	とっ	取	とっ	JMdict	o	
49	954646-431-0029	じぎり	自切	じ-ぎり	align	o	
50	954645-132-0008	いちようらん	一葉蘭	いちえふ-らん	JMdict	o	
51	954647-359-0026	ちょくしまき	勅旨牧	ちょくしまき	align	o	
52	954645-139-0018	いちれつうかがい	一列伺	いちれつ-うかがひ	align	o	
53	954648-249-0028	ふk	蒸	ふかす	JMdict	o	
54	954648-114-0032	はちたたき	鉢扣	はち-たたき	align	o	
55	954645-317-0024	おおづ	大都	おほづ	align	o	
56	954648-097-0007	はくじんや	白人屋	はくじん-や	align	o	
57	954648-641-0028	りさいしゃ	罹災者	りさい-しゃ	JMdict	o	
58	954645-454-0080	かねまきりゅう	鐘卷流	かねまきりう	align	o	
59	954646-529-0029	しゃにん	社人	しゃ-にん	align	o	
60	954645-153-0030	いどみがお	挑顏	いどみ-がほ	align	o	
61	954645-021-0004	あかねぐさ	茜草	あかね-ぐさ	align	o	
62	954648-553-0022	やくじんえ	厄盡會	やくじん-ゑ	align	o	
63	954647-118-0001	せんざいあわせ	前栽合	せんざい-あはせ	align	o	
64	954648-416-0003	ままこ	繼子	ままと	L	o	
65	954646-423-0022	しおきもの	仕置者	おき-もの	JMdict	o	
66	954648-072-0028	のみぐすり	飮藥	のみ-ぐすり	align	o	
