no	id	skk_key	notation	reading	method	judgment	note
1	954647-089-0039	せきてつか	赤鐵科	せきてつ-くわ	align	o	
2	954647-191-0027	だいさんどくかい	第三讀會	だいさん-どくくわい	align	o	
3	954645-023-0028	あかりどこ	明床	あかり-どこ	align	o	
4	954648-288-0033	ふとお	太緒	ふと-を	align	o	
5	954646-484-0023	じゅうもんせん	十文錢	じふもん-せん	align	o	
6	954648-244-0030	ふうし	風枝	ふうし	align	o	
7	954646-379-0029	さびどめ	銹止	さび-どめ	align	o	
8	954647-249-0030	たたみかましき	疊釜敷	たたみ-かましき	align	o	
9	954648-264-0019	ふごんちじ	府權知事	ふ-ごんちじ	align	o	
10	954648-036-0055	ぬけぬけ	拔拔	ぬけ-ぬけ	JMdict	o	
11	954646-307-0033	ころもがや	衣榧	ころも-がや	align	o	
12	954645-094-0021	あおつばき	青椿	あを-つばき	align	o	
13	954646-257-0038	ごぜんひろ	御前廣	ごぜん-ひろ	align	o	
14	954648-178-0001	ひきゃくや	飛脚屋	ひきゃく-や	align	o	
15	954646-373-0057	さつまぶし	薩摩節	さつまぶし	align	o	
16	954648-537-0035	もらい	貰	もらひ	JMdict	o	
17	954646-464-0002	じつみょう	實名	じつ-みゃう	align	o	
18	954645-060-0052	あわばた	粟畑	あは-ばた	align	o	
19	954648-724-0030	おs	食	をす	JMdict	o	
20	954648-651-0024	りゅうこつ	龍骨	りゅう-こつ	L	o	
21	954648-136-0001	はえとりのき	蠅取木	はへとりのき	align	o	
22	954646-168-0044	けんしぼうせき	絹絲紡績	けんし-ばうせき	JMdict	o	
23	954645-463-0065	かわりもの	變物	かはり-もの	align	o	
24	954648-434-0047	みきりゅう	三木流	みき-りう	align	o	
25	954645-306-0002	おいがち	追勝	おひ-がち	align	o	
26	954648-528-0027	もとゆいぐさ	元結草	もとゆひ-ぐさ	align	o	
27	954646-357-0010	さくらずみ	佐倉炭	さくら-ずみ	align	o	
28	954646-299-0039	こめのめし	米飯	こめのめし	JMdict	o	
29	954648-468-0016	みやびお	雅男	みやび-を	JMdict	o	
30	954645-368-0013	こうしいわい	格子祝	かうし-いはひ	align	o	
31	954648-490-0015	むながらみ	胸搦	むな-がらみ	JMdict	o	
32	954645-155-0057	いない	稻井	いな-ゐ	L	o	
33	954648-295-0011	ふみだな	書棚	ふみ-だな	align	o	
34	954646-555-0027	じゅんごうとう	準強盜	じゅん-がうたう	L	o	
35	954645-220-0019	うってかw	打變	つってかはる	JMdict	o	
36	954648-491-0001	むにんさいりゅう	無人齋流	むにんさい-りう	align	o	
37	954648-444-0034	みちすう	未知數	みちすう	L	o	
38	954645-564-0003	きぢかもの	期近物	きぢか-もの	JMdict	o	
39	954645-417-0038	かじゅう	家什	か-じふ	JMdict	o	
40	954648-687-0043	わしぐち	鷲口	わし-ぐち	align	o	
41	954645-411-0021	かさご	笠子	かさ-ご	JMdict	o	
42	954648-113-0057	はちじひげ	八字鬚	はちじ-ひげ	align	o	
43	954648-305-0007	ふろせん	風呂錢	ふろ-せん	align	o	
44	954646-141-0008	けしょうがね	化粧金	けしゃう-がね	align	o	
45	954648-479-0013	むくr	剝	むくる	JMdict	o	
46	954646-469-0016	しなめ	品目	しなめ	JMdict	o	
47	954648-081-0001	はいか	俳歌	はいか	align	o	
48	954645-306-0062	おびした	帶下	おびした	L	o	
49	954645-306-0016	おひき	御引	お-ひき	align	o	
50	954645-496-0001	からかわざいく	唐革細工	からかは-ざいく	align	o	
51	954648-071-0041	のぼりざお	幟竿	のぼり-ざを	align	o	
52	954647-591-0002	なしばたけ	梨畑	なし-ばたけ	align	o	
53	954646-324-0019	さいさい	細細	さい-さい	align	o	
54	954645-204-0073	うすぎぬ	薄帛	うす-ぎぬ	JMdict	o	
55	954645-236-0021	うみすずき	海鱸	うみ-すずき	align	o	
56	954647-160-0043	そでばしら	袖柱	そで-ばしら	JMdict	o	
57	954645-515-0058	かんこうまく	感光膜	かんくわう-まく	align	o	
58	954647-218-0012	とうが	唐畫	たう-ぐわ	L	o	
59	954646-594-0048	しんえん	宸宴	しん-えん	align	o	
60	954647-616-0011	なみおろし	波颪	なみ-おろし	align	o	
61	954645-471-0056	かぶとばこ	冑箱	かぶと-ばこ	align	o	
62	954648-539-0011	もろはく	諸白	もろ-はく	align	o	
63	954648-486-0006	むすびうま	結馬	むすび-うま	align	o	
64	954648-355-0055	ほしのり	乾海苔	ほし-のり	JMdict	o	
65	954648-383-0024	ぼんえ	盆繪	ぼん-ゑ	align	o	
66	954646-104-0035	かんじく	卷軸	くわん-ぢく	JMdict	o	
67	954646-527-0039	しゃしんばん	寫眞版	しゃしん-ばん	L	o	
68	954647-136-0038	ぜんおう	前王	ぜん-わう	JMdict	o	
69	954645-429-0011	かたくずれ	片崩	かた-くづれ	align	o	
70	954647-063-0037	せいぶつちりがく	生物地理學	せいぶつ-ちりがく	L	o	
71	954648-579-0058	ゆに	湯煮	ゆ-に	JMdict	o	
72	954648-684-0068	わぎょう	和行	わ-ぎゃう	JMdict	o	
73	954646-406-0046	さんのかっせん	三合戰	さん-の-かっせん	align	o	
74	954645-389-0054	かきのもとのしゅう	柿本衆	かきのもとのしゅう	align	o	
75	954648-023-0020	にばんちゃ	二番茶	にばん-ちゃ	JMdict	o	
76	954648-663-0019	れいがく	禮樂	れい-がく	L	o	
77	954646-218-0009	こくそけん	告訴權	こくそ-けん	L	o	
78	954645-441-0054	かつえきまく	滑液膜	かつえき-まく	JMdict	o	
79	954645-034-0061	あさぎ	淺黄	あさぎ	L	o	
80	954645-337-0005	おもうよう	思樣	おもふ-やう	align	o	
81	954646-463-0019	じっぴ	實否	じっぴ	L	o	
82	954646-426-0041	しかe	仕替	し-かへる	JMdict	o	
83	954647-142-0010	そうだいかいそう	總代會葬	そうだい-くわいそう	align	o	
84	954645-451-0048	かなもん	假名紋	かなもん	align	o	
85	954647-582-0030	なきくずr	泣崩	なき-くづれる	JMdict	o	
86	954647-119-0038	せんじつm	煎詰	せんじ-つめる	JMdict	o	
87	954645-114-0047	いくさにん	軍人	いくさ-にん	align	o	
